epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.451,0.82182,3.98606,1.35849,0.02661,0.21092,0.05374,0.04249,0.7179,4.44375,1.22789,0.000136561,0.000136561,0.000136561
2,245.698,0.72268,3.68062,1.26317,0.51391,0.09722,0.14651,0.11325,0.81926,4.02745,1.33615,0.000261921,0.000261921,0.000261921
3,364.003,0.75979,3.47537,1.28944,0.51503,0.2246,0.19092,0.15323,0.81062,3.76835,1.34775,0.00037352,0.00037352,0.00037352
4,485.106,0.78079,3.25847,1.29907,0.53302,0.23426,0.2488,0.2115,0.81581,3.75248,1.32419,0.000355076,0.000355076,0.000355076
5,602.672,0.79929,2.9602,1.32464,0.47111,0.2623,0.31315,0.26018,0.80246,3.42777,1.31353,0.000334434,0.000334434,0.000334434
6,722.832,0.7994,2.74298,1.29959,0.50412,0.36037,0.42545,0.33602,0.92398,3.43227,1.54849,0.000313792,0.000313792,0.000313792
7,845.048,0.77663,2.63429,1.28486,0.4831,0.48921,0.4645,0.38382,0.84593,3.0526,1.36419,0.000293151,0.000293151,0.000293151
8,969.571,0.75833,2.47739,1.29673,0.62839,0.412,0.48168,0.38147,0.85798,3.00098,1.3995,0.000272509,0.000272509,0.000272509
9,1094.46,0.7038,2.27433,1.25417,0.67445,0.45883,0.51731,0.42135,0.81482,2.88228,1.40317,0.000251868,0.000251868,0.000251868
10,1236.34,0.72572,2.16055,1.25804,0.54716,0.54825,0.55046,0.44365,0.82256,2.89083,1.31939,0.000231226,0.000231226,0.000231226
11,1353.64,0.67623,2.56292,1.31683,0.54403,0.578,0.58854,0.45145,0.8629,2.78111,1.38179,0.000210585,0.000210585,0.000210585
12,1468.55,0.6303,2.33418,1.28367,0.67852,0.61845,0.61372,0.51625,0.74536,2.85545,1.25117,0.000189943,0.000189943,0.000189943
13,1584.95,0.57701,2.20386,1.23793,0.71455,0.60923,0.62814,0.53496,0.72678,2.5175,1.22112,0.000169302,0.000169302,0.000169302
14,1698.08,0.58683,2.09916,1.25041,0.72673,0.57532,0.64051,0.55187,0.71073,2.44564,1.18161,0.00014866,0.00014866,0.00014866
15,1809.05,0.58505,1.99267,1.25295,0.6146,0.64814,0.63439,0.54421,0.7082,2.67551,1.17785,0.000128019,0.000128019,0.000128019
16,1918.52,0.56092,1.93241,1.22543,0.68097,0.64785,0.65644,0.55363,0.74575,2.54535,1.21971,0.000107378,0.000107378,0.000107378
17,2030.22,0.54632,1.81986,1.19632,0.83026,0.58125,0.66651,0.56682,0.72404,2.47941,1.20046,8.6736e-05,8.6736e-05,8.6736e-05
18,2154.81,0.51132,1.81535,1.1882,0.74075,0.68315,0.67972,0.59021,0.68663,2.52216,1.16205,6.60945e-05,6.60945e-05,6.60945e-05
19,2274.52,0.50805,1.74567,1.15598,0.68025,0.74896,0.70688,0.60171,0.70161,2.54355,1.17265,4.5453e-05,4.5453e-05,4.5453e-05
20,2386.38,0.50574,1.71134,1.1591,0.72499,0.70591,0.69894,0.59256,0.71981,2.57799,1.19033,2.48115e-05,2.48115e-05,2.48115e-05
