epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.224,0.87257,3.99536,1.35078,0.03956,0.23268,0.0828,0.06785,0.65225,4.45133,1.15271,0.000136518,0.000136518,0.000136518
2,391.19,0.72933,3.72317,1.2762,0.58539,0.16836,0.17279,0.13148,0.83676,4.02709,1.32624,0.00026188,0.00026188,0.00026188
3,526.173,0.75521,3.4802,1.29316,0.23922,0.37487,0.19859,0.15887,0.8562,3.92518,1.39138,0.000373481,0.000373481,0.000373481
4,662.702,0.75634,3.25355,1.30237,0.28589,0.35112,0.27159,0.22721,0.8347,3.73733,1.30769,0.000355076,0.000355076,0.000355076
5,800.354,0.77478,3.02993,1.2906,0.51657,0.39423,0.40337,0.33287,0.8247,3.47013,1.34446,0.000334434,0.000334434,0.000334434
6,933.24,0.8098,2.80043,1.30774,0.57229,0.39389,0.43507,0.36504,0.83172,4.06961,1.33258,0.000313792,0.000313792,0.000313792
7,1045.9,0.76659,2.61979,1.29438,0.40162,0.53963,0.49604,0.37848,0.85869,3.1939,1.34252,0.000293151,0.000293151,0.000293151
8,1157.66,0.72408,2.41349,1.2381,0.49083,0.59934,0.55311,0.44993,0.79588,2.82124,1.30162,0.000272509,0.000272509,0.000272509
9,1278.79,0.77317,2.29395,1.28448,0.75446,0.57743,0.64693,0.5491,0.75327,2.52379,1.23658,0.000251868,0.000251868,0.000251868
10,1399.71,0.72878,2.16954,1.25362,0.76045,0.59102,0.68845,0.56961,0.76199,2.4657,1.27062,0.000231226,0.000231226,0.000231226
11,1514.88,0.64975,2.47945,1.28073,0.81282,0.53843,0.66636,0.52186,0.80646,2.58206,1.34375,0.000210585,0.000210585,0.000210585
12,1627.42,0.6288,2.31429,1.27413,0.84619,0.64637,0.73345,0.6121,0.73852,2.29852,1.24896,0.000189943,0.000189943,0.000189943
13,1757.68,0.60438,2.1755,1.23669,0.82528,0.62559,0.73423,0.62097,0.74657,2.23078,1.23405,0.000169302,0.000169302,0.000169302
14,1890.75,0.57067,2.03997,1.21434,0.73408,0.68809,0.72393,0.61845,0.69179,2.4453,1.193,0.00014866,0.00014866,0.00014866
15,2006.88,0.56087,2.00061,1.2084,0.82632,0.65542,0.76826,0.64037,0.69693,2.18602,1.19959,0.000128019,0.000128019,0.000128019
16,2140.39,0.54749,1.91347,1.19882,0.80683,0.72367,0.78199,0.65123,0.6886,2.09904,1.17561,0.000107378,0.000107378,0.000107378
17,2254.49,0.5371,1.86033,1.17925,0.79992,0.72029,0.78081,0.65628,0.7027,1.99613,1.18338,8.6736e-05,8.6736e-05,8.6736e-05
18,2368.54,0.53023,1.74693,1.18191,0.82943,0.7252,0.78442,0.66077,0.68493,1.97199,1.16613,6.60945e-05,6.60945e-05,6.60945e-05
19,2485.9,0.51393,1.73213,1.15264,0.76854,0.77047,0.78571,0.65281,0.69946,1.94462,1.18071,4.5453e-05,4.5453e-05,4.5453e-05
20,2617.6,0.4973,1.68752,1.13315,0.76308,0.75517,0.78266,0.65732,0.69056,1.9761,1.17632,2.48115e-05,2.48115e-05,2.48115e-05
