epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.446,0.84584,3.97857,1.36045,0.03622,0.2245,0.05141,0.03888,0.75376,4.45383,1.26177,0.000136561,0.000136561,0.000136561
2,255.17,0.73581,3.7055,1.25126,0.72214,0.04865,0.12927,0.09198,0.87169,4.07821,1.37262,0.000261921,0.000261921,0.000261921
3,418.936,0.77613,3.48449,1.31325,0.38732,0.23423,0.20982,0.14939,1.07997,3.9751,1.68807,0.00037352,0.00037352,0.00037352
4,543.598,0.79167,3.27896,1.30957,0.26978,0.34866,0.26622,0.2168,0.96564,3.69945,1.55219,0.000355076,0.000355076,0.000355076
5,667.013,0.77355,3.01584,1.29746,0.52135,0.45499,0.33826,0.2709,0.87412,3.58169,1.44052,0.000334434,0.000334434,0.000334434
6,790.574,0.83579,2.79628,1.3089,0.38217,0.50808,0.44239,0.34896,0.89516,3.11542,1.42069,0.000313792,0.000313792,0.000313792
7,910.228,0.7479,2.5982,1.25351,0.40967,0.53213,0.45877,0.36792,0.89387,3.09871,1.44307,0.000293151,0.000293151,0.000293151
8,1035.67,0.76621,2.45764,1.27671,0.56587,0.58873,0.61503,0.51385,0.84809,2.71232,1.3578,0.000272509,0.000272509,0.000272509
9,1157.31,0.7008,2.20739,1.23351,0.687,0.52216,0.6078,0.5005,0.90818,2.67463,1.39964,0.000251868,0.000251868,0.000251868
10,1278.66,0.72078,2.21396,1.25559,0.76969,0.49543,0.61634,0.49671,0.8934,2.60072,1.40575,0.000231226,0.000231226,0.000231226
11,1402.8,0.71513,2.53049,1.33695,0.54233,0.4894,0.53654,0.41634,0.91221,2.80056,1.47537,0.000210585,0.000210585,0.000210585
12,1528.2,0.60947,2.33253,1.23816,0.63492,0.68525,0.71946,0.58303,0.84064,2.47439,1.34532,0.000189943,0.000189943,0.000189943
13,1648.76,0.59932,2.18826,1.24826,0.71805,0.63862,0.73608,0.60469,0.83022,2.35419,1.30938,0.000169302,0.000169302,0.000169302
14,1769.13,0.59526,2.07672,1.24184,0.7343,0.68302,0.74029,0.62074,0.8024,2.42057,1.27951,0.00014866,0.00014866,0.00014866
15,1890.2,0.59374,2.01074,1.23671,0.74688,0.70955,0.77471,0.65181,0.80142,2.2719,1.28732,0.000128019,0.000128019,0.000128019
16,2011.32,0.54585,1.95285,1.20519,0.76777,0.69821,0.78607,0.66856,0.76253,2.22282,1.25105,0.000107378,0.000107378,0.000107378
17,2130.39,0.53372,1.847,1.1673,0.78728,0.73227,0.81529,0.67653,0.72543,1.99817,1.21604,8.6736e-05,8.6736e-05,8.6736e-05
18,2250.07,0.51756,1.80397,1.15544,0.7921,0.69597,0.80336,0.67297,0.7416,2.04078,1.22985,6.60945e-05,6.60945e-05,6.60945e-05
19,2370.95,0.54198,1.74429,1.19454,0.83215,0.68366,0.80405,0.67693,0.72988,2.01872,1.22082,4.5453e-05,4.5453e-05,4.5453e-05
20,2488.83,0.50742,1.75721,1.144,0.82864,0.68351,0.78931,0.67453,0.73604,2.02971,1.22125,2.48115e-05,2.48115e-05,2.48115e-05
