epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.765,0.83672,3.98475,1.34504,0.02844,0.1862,0.0551,0.04312,0.77602,4.48651,1.31427,0.000136561,0.000136561,0.000136561
2,222.692,0.72722,3.69866,1.25881,0.52254,0.10387,0.161,0.12432,0.81609,4.04331,1.40318,0.000261921,0.000261921,0.000261921
3,337.361,0.75185,3.48893,1.30387,0.52941,0.37342,0.232,0.18437,0.88823,3.76672,1.50128,0.00037352,0.00037352,0.00037352
4,452.133,0.82979,3.31067,1.34199,0.61925,0.27832,0.34347,0.27349,0.85451,3.62364,1.45082,0.000355076,0.000355076,0.000355076
5,569.043,0.80917,3.03692,1.33754,0.34516,0.41119,0.35652,0.30159,0.81752,3.31353,1.38778,0.000334434,0.000334434,0.000334434
6,688.694,0.79548,2.83499,1.30381,0.35947,0.45504,0.4287,0.34478,0.93646,3.18436,1.5297,0.000313792,0.000313792,0.000313792
7,809.071,0.76448,2.63661,1.27251,0.47267,0.58988,0.5025,0.39455,0.84385,3.04425,1.40834,0.000293151,0.000293151,0.000293151
8,928.709,0.73082,2.49834,1.27812,0.62107,0.47583,0.52416,0.44464,0.7971,2.99121,1.3645,0.000272509,0.000272509,0.000272509
9,1039.31,0.73774,2.33555,1.23554,0.60515,0.51732,0.57728,0.47501,0.80958,2.77078,1.3823,0.000251868,0.000251868,0.000251868
10,1149.82,0.69834,2.22434,1.23606,0.52957,0.55649,0.60805,0.50769,0.82091,2.64938,1.42315,0.000231226,0.000231226,0.000231226
11,1260.39,0.6604,2.54564,1.29353,0.65996,0.61006,0.62819,0.51422,0.80383,2.63894,1.39761,0.000210585,0.000210585,0.000210585
12,1369.53,0.58363,2.34429,1.21871,0.69165,0.68126,0.71397,0.58523,0.78812,2.25425,1.37267,0.000189943,0.000189943,0.000189943
13,1479.89,0.62048,2.26137,1.25256,0.57874,0.69115,0.71035,0.59504,0.77175,2.18636,1.33416,0.000169302,0.000169302,0.000169302
14,1588.49,0.60806,2.15552,1.25418,0.58359,0.75785,0.73104,0.61905,0.73311,2.33293,1.2825,0.00014866,0.00014866,0.00014866
15,1698.79,0.54645,2.03857,1.19675,0.63745,0.75068,0.73027,0.61714,0.72731,2.23661,1.28363,0.000128019,0.000128019,0.000128019
16,1807.99,0.56443,1.98954,1.20457,0.70855,0.73318,0.77294,0.65132,0.76025,2.20136,1.30383,0.000107378,0.000107378,0.000107378
17,1918.53,0.53959,1.89061,1.16352,0.77893,0.70125,0.79593,0.66686,0.7363,2.12019,1.2954,8.6736e-05,8.6736e-05,8.6736e-05
18,2030.25,0.51896,1.86562,1.15438,0.76412,0.7068,0.79451,0.66196,0.73344,2.07753,1.29121,6.60945e-05,6.60945e-05,6.60945e-05
19,2139.89,0.50085,1.74709,1.1244,0.65279,0.74235,0.79947,0.6814,0.72783,2.06453,1.28416,4.5453e-05,4.5453e-05,4.5453e-05
20,2252.01,0.50271,1.75393,1.13149,0.62488,0.80538,0.7617,0.64217,0.72043,2.1148,1.27341,2.48115e-05,2.48115e-05,2.48115e-05
